id_equipo,seleccion,seleccion_normalizada,seleccion_original_fifa,confederacion,grupo,codigo_fifa,pais,clasificado,debut_mundial,fuente_equipos,cantidad_jugadores,edad_promedio,altura_promedio,arqueros,defensas,mediocampistas,delanteros,partidos_fixture,rivales_grupo
14,Czechia,czechia,Czechia,UEFA,A,CZE,Czechia,Sí,2006,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.2,185.7,3,9,7,7,3,"Korea Republic, Mexico, South Africa"
27,Korea Republic,korea republic,Korea Republic,AFC,A,KOR,Korea Republic,Sí,1954,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.5,181.9,3,9,11,3,3,"Czechia, Mexico, South Africa"
28,Mexico,mexico,Mexico,CONCACAF,A,MEX,Mexico,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.5,179.5,3,7,8,8,3,"Czechia, Korea Republic, South Africa"
40,South Africa,south africa,South Africa,CAF,A,RSA,South Africa,Sí,1998,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.3,178.8,3,10,5,8,3,"Czechia, Korea Republic, Mexico"
6,Bosnia And Herzegovina,bosnia and herzegovina,Bosnia And Herzegovina,UEFA,B,BIH,Bosnia And Herzegovina,Sí,2014,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,25.9,187.2,3,8,8,7,3,"Canada, Qatar, Switzerland"
9,Canada,canada,Canada,CONCACAF,B,CAN,Canada,Sí,1986,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.4,182.1,3,9,8,6,3,"Bosnia And Herzegovina, Qatar, Switzerland"
36,Qatar,qatar,Qatar,AFC,B,QAT,Qatar,Sí,2022,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.9,179.4,3,9,5,9,3,"Bosnia And Herzegovina, Canada, Switzerland"
43,Switzerland,switzerland,Switzerland,UEFA,B,SUI,Switzerland,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.8,185.2,3,8,8,7,3,"Bosnia And Herzegovina, Canada, Qatar"
7,Brazil,brazil,Brazil,CONMEBOL,C,BRA,Brazil,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.7,182.8,3,9,5,9,3,"Haiti, Morocco, Scotland"
22,Haiti,haiti,Haiti,CONCACAF,C,HAI,Haiti,Sí,1974,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.1,181.4,3,8,6,9,3,"Brazil, Morocco, Scotland"
29,Morocco,morocco,Morocco,CAF,C,MAR,Morocco,Sí,1970,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,25.9,182.7,3,9,9,5,3,"Brazil, Haiti, Scotland"
38,Scotland,scotland,Scotland,UEFA,C,SCO,Scotland,Sí,1954,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.7,184.5,3,10,6,7,3,"Brazil, Haiti, Morocco"
3,Australia,australia,Australia,AFC,D,AUS,Australia,Sí,1974,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.9,183.6,3,10,5,8,3,"Paraguay, Türkiye, United States"
34,Paraguay,paraguay,Paraguay,CONMEBOL,D,PAR,Paraguay,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.5,181.6,3,8,9,6,3,"Australia, Türkiye, United States"
45,Türkiye,turkiye,Türkiye,UEFA,D,TUR,Türkiye,Sí,1954,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.2,183.8,3,9,5,9,3,"Australia, Paraguay, United States"
46,United States,united states,USA,CONCACAF,D,USA,United States,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.4,183.4,3,10,6,7,3,"Australia, Paraguay, Türkiye"
13,Curaçao,curacao,Curaçao,CONCACAF,E,CUW,Curaçao,Sí,2026,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.5,181.9,3,8,7,8,3,"Côte D'Ivoire, Ecuador, Germany"
15,Côte D'Ivoire,cote d ivoire,Côte D'Ivoire,CAF,E,CIV,Côte D'Ivoire,Sí,2006,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,25.3,182.9,3,8,6,9,3,"Curaçao, Ecuador, Germany"
16,Ecuador,ecuador,Ecuador,CONMEBOL,E,ECU,Ecuador,Sí,2002,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,25.6,180.5,3,8,8,7,3,"Curaçao, Côte D'Ivoire, Germany"
20,Germany,germany,Germany,UEFA,E,GER,Germany,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.5,185.4,3,8,11,4,3,"Curaçao, Côte D'Ivoire, Ecuador"
25,Japan,japan,Japan,AFC,F,JPN,Japan,Sí,1998,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.2,181.3,3,9,10,4,3,"Netherlands, Sweden, Tunisia"
30,Netherlands,netherlands,Netherlands,UEFA,F,NED,Netherlands,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.3,184.9,3,8,8,7,3,"Japan, Sweden, Tunisia"
42,Sweden,sweden,Sweden,UEFA,F,SWE,Sweden,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.0,186.2,3,11,7,5,3,"Japan, Netherlands, Tunisia"
44,Tunisia,tunisia,Tunisia,CAF,F,TUN,Tunisia,Sí,1978,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.2,184.6,3,10,8,5,3,"Japan, Netherlands, Sweden"
5,Belgium,belgium,Belgium,UEFA,G,BEL,Belgium,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.1,185.8,3,9,8,6,3,"Egypt, Iran, New Zealand"
17,Egypt,egypt,Egypt,CAF,G,EGY,Egypt,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.7,181.2,4,8,7,7,3,"Belgium, Iran, New Zealand"
23,Iran,iran,IR Iran,AFC,G,IRN,Iran,Sí,1978,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,29.8,183.7,3,9,8,6,3,"Belgium, Egypt, New Zealand"
31,New Zealand,new zealand,New Zealand,OFC,G,NZL,New Zealand,Sí,1982,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.6,183.5,3,9,10,4,3,"Belgium, Egypt, Iran"
8,Cabo Verde,cabo verde,Cabo Verde,CAF,H,CPV,Cabo Verde,Sí,2026,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,29.2,181.3,3,8,12,3,3,"Saudi Arabia, Spain, Uruguay"
37,Saudi Arabia,saudi arabia,Saudi Arabia,AFC,H,KSA,Saudi Arabia,Sí,1994,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.0,178.4,3,10,6,7,3,"Cabo Verde, Spain, Uruguay"
41,Spain,spain,Spain,UEFA,H,ESP,Spain,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.2,181.7,3,8,7,8,3,"Cabo Verde, Saudi Arabia, Uruguay"
47,Uruguay,uruguay,Uruguay,CONMEBOL,H,URU,Uruguay,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.2,180.5,3,7,11,5,3,"Cabo Verde, Saudi Arabia, Spain"
19,France,france,France,UEFA,I,FRA,France,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.6,184.9,3,9,7,7,3,"Iraq, Norway, Senegal"
24,Iraq,iraq,Iraq,AFC,I,IRQ,Iraq,Sí,1986,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.7,183.2,3,9,7,7,3,"France, Norway, Senegal"
32,Norway,norway,Norway,UEFA,I,NOR,Norway,Sí,1938,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.3,187.2,3,8,10,5,3,"France, Iraq, Senegal"
39,Senegal,senegal,Senegal,CAF,I,SEN,Senegal,Sí,2002,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.6,184.0,3,8,7,8,3,"France, Iraq, Norway"
1,Algeria,algeria,Algeria,CAF,J,ALG,Algeria,Sí,1982,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.5,182.7,3,9,7,7,3,"Argentina, Austria, Jordan"
2,Argentina,argentina,Argentina,CONMEBOL,J,ARG,Argentina,Sí,1930,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.6,179.7,3,8,8,7,3,"Algeria, Austria, Jordan"
4,Austria,austria,Austria,UEFA,J,AUT,Austria,Sí,1934,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.1,184.7,3,8,11,4,3,"Algeria, Argentina, Jordan"
26,Jordan,jordan,Jordan,AFC,J,JOR,Jordan,Sí,2026,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.1,180.4,3,9,7,7,3,"Algeria, Argentina, Austria"
10,Colombia,colombia,Colombia,CONMEBOL,K,COL,Colombia,Sí,1962,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,29.6,180.0,3,9,8,6,3,"Congo DR, Portugal, Uzbekistan"
11,Congo DR,congo dr,Congo DR,CAF,K,COD,Congo DR,Sí,1974,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.5,181.0,3,8,8,7,3,"Colombia, Portugal, Uzbekistan"
35,Portugal,portugal,Portugal,UEFA,K,POR,Portugal,Sí,1966,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.5,181.5,3,9,6,8,3,"Colombia, Congo DR, Uzbekistan"
48,Uzbekistan,uzbekistan,Uzbekistan,AFC,K,UZB,Uzbekistan,Sí,2026,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,28.0,181.8,3,10,10,3,3,"Colombia, Congo DR, Portugal"
12,Croatia,croatia,Croatia,UEFA,L,CRO,Croatia,Sí,1998,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,27.9,184.8,3,8,9,6,3,"England, Ghana, Panama"
18,England,england,England,UEFA,L,ENG,England,Sí,1950,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.6,184.2,3,9,7,7,3,"Croatia, Ghana, Panama"
21,Ghana,ghana,Ghana,CAF,L,GHA,Ghana,Sí,2006,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,26.4,182.6,3,9,6,8,3,"Croatia, England, Panama"
33,Panama,panama,Panama,CONCACAF,L,PAN,Panama,Sí,2018,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,26,30.0,181.6,3,11,8,4,3,"Croatia, England, Ghana"
