id_partido,match_no,fase,ronda,grupo,fecha_local,dia_semana_en,hora_local_12h,hora_local_24h,timezone_sede,datetime_local_iso,datetime_utc_iso,fecha_peru,hora_peru,datetime_peru_iso,id_equipo_local,equipo_local,equipo_local_original,codigo_local,id_equipo_visitante,equipo_visitante,equipo_visitante_original,codigo_visitante,id_sede,ciudad,pais_sede,estadio,nombre_fifa_estadio,partido_nombre,estado,resultado,goles_local,goles_visitante,fuente_fixture,fuente_verificacion_fifa,nota
1,1,Fase de grupos,Group Stage,A,2026-06-11,Thursday,4:00 pm,16:00,America/Mexico_City,2026-06-11T16:00:00-06:00,2026-06-11T22:00:00+00:00,2026-06-11,17:00,2026-06-11T17:00:00-05:00,28,Mexico,Mexico,MEX,40,South Africa,South Africa,RSA,,Mexico City,Mexico,Estadio Azteca,Mexico City Stadium,Mexico vs South Africa,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
2,2,Fase de grupos,Group Stage,A,2026-06-11,Thursday,4:00 pm,16:00,America/Mexico_City,2026-06-11T16:00:00-06:00,2026-06-11T22:00:00+00:00,2026-06-11,17:00,2026-06-11T17:00:00-05:00,27,Korea Republic,Korea Republic,KOR,14,Czechia,Czechia,CZE,10,Guadalajara,Mexico,Estadio Akron,Guadalajara Stadium,Korea Republic vs Czechia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
3,3,Fase de grupos,Group Stage,B,2026-06-12,Friday,4:00 pm,16:00,America/Toronto,2026-06-12T16:00:00-04:00,2026-06-12T20:00:00+00:00,2026-06-12,15:00,2026-06-12T15:00:00-05:00,9,Canada,Canada,CAN,6,Bosnia And Herzegovina,Bosnia & Herzegovina,BIH,8,Toronto,Canada,BMO Field,Toronto Stadium,Canada vs Bosnia And Herzegovina,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
4,4,Fase de grupos,Group Stage,D,2026-06-12,Friday,6:00 pm,18:00,America/Los_Angeles,2026-06-12T18:00:00-07:00,2026-06-13T01:00:00+00:00,2026-06-12,20:00,2026-06-12T20:00:00-05:00,46,United States,United States,USA,34,Paraguay,Paraguay,PAR,,Los Angeles,United States,SoFi Stadium,Los Angeles Stadium,United States vs Paraguay,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
5,5,Fase de grupos,Group Stage,C,2026-06-13,Saturday,9:00 pm,21:00,America/New_York,2026-06-13T21:00:00-04:00,2026-06-14T01:00:00+00:00,2026-06-13,20:00,2026-06-13T20:00:00-05:00,22,Haiti,Haiti,HAI,38,Scotland,Scotland,SCO,2,Boston,United States,Gillette Stadium,Boston Stadium,Haiti vs Scotland,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
6,6,Fase de grupos,Group Stage,D,2026-06-13,Saturday,9:00 pm,21:00,America/Vancouver,2026-06-13T21:00:00-07:00,2026-06-14T04:00:00+00:00,2026-06-13,23:00,2026-06-13T23:00:00-05:00,3,Australia,Australia,AUS,45,Türkiye,Turkiye,TUR,9,Vancouver,Canada,BC Place,BC Place Vancouver,Australia vs Türkiye,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
7,7,Fase de grupos,Group Stage,C,2026-06-13,Saturday,6:00 pm,18:00,America/New_York,2026-06-13T18:00:00-04:00,2026-06-13T22:00:00+00:00,2026-06-13,17:00,2026-06-13T17:00:00-05:00,7,Brazil,Brazil,BRA,29,Morocco,Morocco,MAR,,New York New Jersey,United States,MetLife Stadium,New York New Jersey Stadium,Brazil vs Morocco,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
8,8,Fase de grupos,Group Stage,B,2026-06-13,Saturday,12:00 pm,12:00,America/Los_Angeles,2026-06-13T12:00:00-07:00,2026-06-13T19:00:00+00:00,2026-06-13,14:00,2026-06-13T14:00:00-05:00,36,Qatar,Qatar,QAT,43,Switzerland,Switzerland,SUI,,San Francisco Bay Area,United States,Levi's Stadium,San Francisco Bay Area Stadium,Qatar vs Switzerland,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
9,9,Fase de grupos,Group Stage,E,2026-06-14,Sunday,4:00 pm,16:00,America/New_York,2026-06-14T16:00:00-04:00,2026-06-14T20:00:00+00:00,2026-06-14,15:00,2026-06-14T15:00:00-05:00,15,Côte D'Ivoire,Côte d'Ivoire,CIV,16,Ecuador,Ecuador,ECU,6,Philadelphia,United States,Lincoln Financial Field,Philadelphia Stadium,Côte D'Ivoire vs Ecuador,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
10,10,Fase de grupos,Group Stage,E,2026-06-14,Sunday,4:00 pm,16:00,America/Chicago,2026-06-14T16:00:00-05:00,2026-06-14T21:00:00+00:00,2026-06-14,16:00,2026-06-14T16:00:00-05:00,20,Germany,Germany,GER,13,Curaçao,Curaçao,CUW,4,Houston,United States,NRG Stadium,Houston Stadium,Germany vs Curaçao,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
11,11,Fase de grupos,Group Stage,F,2026-06-14,Sunday,4:00 pm,16:00,America/Chicago,2026-06-14T16:00:00-05:00,2026-06-14T21:00:00+00:00,2026-06-14,16:00,2026-06-14T16:00:00-05:00,30,Netherlands,Netherlands,NED,25,Japan,Japan,JPN,3,Dallas,United States,AT&T Stadium,Dallas Stadium,Netherlands vs Japan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
12,12,Fase de grupos,Group Stage,F,2026-06-14,Sunday,7:00pm,16:00,America/Monterrey,,,2026-06-14,16:00,,42,Sweden,Sweden,SWE,44,Tunisia,Tunisia,TUN,11,Monterrey,Mexico,Estadio BBVA,Monterrey Stadium,Sweden vs Tunisia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
13,13,Fase de grupos,Group Stage,H,2026-06-15,Monday,4:00 pm,16:00,America/New_York,2026-06-15T16:00:00-04:00,2026-06-15T20:00:00+00:00,2026-06-15,15:00,2026-06-15T15:00:00-05:00,37,Saudi Arabia,Saudi Arabia,KSA,47,Uruguay,Uruguay,URU,5,Miami,United States,Hard Rock Stadium,Miami Stadium,Saudi Arabia vs Uruguay,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
14,14,Fase de grupos,Group Stage,H,2026-06-15,Monday,4:00 pm,16:00,America/New_York,2026-06-15T16:00:00-04:00,2026-06-15T20:00:00+00:00,2026-06-15,15:00,2026-06-15T15:00:00-05:00,41,Spain,Spain,ESP,8,Cabo Verde,Cape Verde,CPV,1,Atlanta,United States,Mercedes-Benz Stadium,Atlanta Stadium,Spain vs Cabo Verde,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
15,15,Fase de grupos,Group Stage,G,2026-06-15,Monday,4:00 pm,16:00,America/Los_Angeles,2026-06-15T16:00:00-07:00,2026-06-15T23:00:00+00:00,2026-06-15,18:00,2026-06-15T18:00:00-05:00,23,Iran,IR Iran,IRN,31,New Zealand,New Zealand,NZL,,Los Angeles,United States,SoFi Stadium,Los Angeles Stadium,Iran vs New Zealand,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
16,16,Fase de grupos,Group Stage,G,2026-06-15,Monday,7:00pm,16:00,America/Los_Angeles,,,2026-06-15,16:00,,5,Belgium,Belgium,BEL,17,Egypt,Egypt,EGY,7,Seattle,United States,Lumen Field,Seattle Stadium,Belgium vs Egypt,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
17,17,Fase de grupos,Group Stage,I,2026-06-16,Tuesday,4:00 pm,16:00,America/New_York,2026-06-16T16:00:00-04:00,2026-06-16T20:00:00+00:00,2026-06-16,15:00,2026-06-16T15:00:00-05:00,19,France,France,FRA,39,Senegal,Senegal,SEN,,New York New Jersey,United States,MetLife Stadium,New York New Jersey Stadium,France vs Senegal,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
18,18,Fase de grupos,Group Stage,I,2026-06-16,Tuesday,4:00 pm,16:00,America/New_York,2026-06-16T16:00:00-04:00,2026-06-16T20:00:00+00:00,2026-06-16,15:00,2026-06-16T15:00:00-05:00,24,Iraq,Iraq,IRQ,32,Norway,Norway,NOR,2,Boston,United States,Gillette Stadium,Boston Stadium,Iraq vs Norway,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
19,19,Fase de grupos,Group Stage,J,2026-06-16,Tuesday,4:00 pm,16:00,America/Chicago,2026-06-16T16:00:00-05:00,2026-06-16T21:00:00+00:00,2026-06-16,16:00,2026-06-16T16:00:00-05:00,2,Argentina,Argentina,ARG,1,Algeria,Algeria,ALG,,Kansas City,United States,Arrowhead Stadium,Kansas City Stadium,Argentina vs Algeria,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
20,20,Fase de grupos,Group Stage,J,2026-06-16,Tuesday,5:00pm,16:00,America/Los_Angeles,,,2026-06-16,16:00,,4,Austria,Austria,AUT,26,Jordan,Jordan,JOR,,San Francisco Bay Area,United States,Levi's Stadium,San Francisco Bay Area Stadium,Austria vs Jordan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
21,21,Fase de grupos,Group Stage,L,2026-06-17,Wednesday,4:00 pm,16:00,America/Toronto,2026-06-17T16:00:00-04:00,2026-06-17T20:00:00+00:00,2026-06-17,15:00,2026-06-17T15:00:00-05:00,21,Ghana,Ghana,GHA,33,Panama,Panama,PAN,8,Toronto,Canada,BMO Field,Toronto Stadium,Ghana vs Panama,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
22,22,Fase de grupos,Group Stage,L,2026-06-17,Wednesday,4:00 pm,16:00,America/Chicago,2026-06-17T16:00:00-05:00,2026-06-17T21:00:00+00:00,2026-06-17,16:00,2026-06-17T16:00:00-05:00,18,England,England,ENG,12,Croatia,Croatia,CRO,3,Dallas,United States,AT&T Stadium,Dallas Stadium,England vs Croatia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
23,23,Fase de grupos,Group Stage,K,2026-06-17,Wednesday,4:00 pm,16:00,America/Chicago,2026-06-17T16:00:00-05:00,2026-06-17T21:00:00+00:00,2026-06-17,16:00,2026-06-17T16:00:00-05:00,35,Portugal,Portugal,POR,11,Congo DR,Congo DR,COD,4,Houston,United States,NRG Stadium,Houston Stadium,Portugal vs Congo DR,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
24,24,Fase de grupos,Group Stage,K,2026-06-17,Wednesday,4:00 pm,16:00,America/Mexico_City,2026-06-17T16:00:00-06:00,2026-06-17T22:00:00+00:00,2026-06-17,17:00,2026-06-17T17:00:00-05:00,48,Uzbekistan,Uzbekistan,UZB,10,Colombia,Colombia,COL,,Mexico City,Mexico,Estadio Azteca,Mexico City Stadium,Uzbekistan vs Colombia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
25,25,Fase de grupos,Group Stage,A,2026-06-18,Thursday,4:00 pm,16:00,America/New_York,2026-06-18T16:00:00-04:00,2026-06-18T20:00:00+00:00,2026-06-18,15:00,2026-06-18T15:00:00-05:00,14,Czechia,Czechia,CZE,40,South Africa,South Africa,RSA,1,Atlanta,United States,Mercedes-Benz Stadium,Atlanta Stadium,Czechia vs South Africa,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
26,26,Fase de grupos,Group Stage,B,2026-06-18,Thursday,4:00 pm,16:00,America/Los_Angeles,2026-06-18T16:00:00-07:00,2026-06-18T23:00:00+00:00,2026-06-18,18:00,2026-06-18T18:00:00-05:00,43,Switzerland,Switzerland,SUI,6,Bosnia And Herzegovina,Bosnia & Herzegovina,BIH,,Los Angeles,United States,SoFi Stadium,Los Angeles Stadium,Switzerland vs Bosnia And Herzegovina,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
27,27,Fase de grupos,Group Stage,B,2026-06-18,Thursday,4:00 pm,16:00,America/Vancouver,2026-06-18T16:00:00-07:00,2026-06-18T23:00:00+00:00,2026-06-18,18:00,2026-06-18T18:00:00-05:00,9,Canada,Canada,CAN,36,Qatar,Qatar,QAT,9,Vancouver,Canada,BC Place,BC Place Vancouver,Canada vs Qatar,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
28,28,Fase de grupos,Group Stage,A,2026-06-18,Thursday,4:00 pm,16:00,America/Mexico_City,2026-06-18T16:00:00-06:00,2026-06-18T22:00:00+00:00,2026-06-18,17:00,2026-06-18T17:00:00-05:00,28,Mexico,Mexico,MEX,27,Korea Republic,Korea Republic,KOR,10,Guadalajara,Mexico,Estadio Akron,Guadalajara Stadium,Mexico vs Korea Republic,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
29,29,Fase de grupos,Group Stage,C,2026-06-19,Friday,4:00 pm,16:00,America/New_York,2026-06-19T16:00:00-04:00,2026-06-19T20:00:00+00:00,2026-06-19,15:00,2026-06-19T15:00:00-05:00,7,Brazil,Brazil,BRA,22,Haiti,Haiti,HAI,6,Philadelphia,United States,Lincoln Financial Field,Philadelphia Stadium,Brazil vs Haiti,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
