id_partido,match_no,fase,ronda,grupo,fecha_local,dia_semana_en,hora_local_12h,hora_local_24h,timezone_sede,datetime_local_iso,datetime_utc_iso,fecha_peru,hora_peru,datetime_peru_iso,id_equipo_local,equipo_local,equipo_local_original,codigo_local,id_equipo_visitante,equipo_visitante,equipo_visitante_original,codigo_visitante,id_sede,ciudad,pais_sede,estadio,nombre_fifa_estadio,partido_nombre,estado,resultado,goles_local,goles_visitante,fuente_fixture,fuente_verificacion_fifa,nota
30,30,Fase de grupos,Group Stage,C,2026-06-19,Friday,4:00 pm,16:00,America/New_York,2026-06-19T16:00:00-04:00,2026-06-19T20:00:00+00:00,2026-06-19,15:00,2026-06-19T15:00:00-05:00,38,Scotland,Scotland,SCO,29,Morocco,Morocco,MAR,2,Boston,United States,Gillette Stadium,Boston Stadium,Scotland vs Morocco,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
31,31,Fase de grupos,Group Stage,,2026-06-19,Friday,4:00 pm,16:00,America/Los_Angeles,2026-06-19T16:00:00-07:00,2026-06-19T23:00:00+00:00,2026-06-19,18:00,2026-06-19T18:00:00-05:00,,Turkey,Turkey,,34,Paraguay,Paraguay,PAR,,San Francisco Bay Area,United States,Levi's Stadium,San Francisco Bay Area Stadium,Turkey vs Paraguay,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
32,32,Fase de grupos,Group Stage,D,2026-06-19,Friday,4:00 pm,16:00,America/Los_Angeles,2026-06-19T16:00:00-07:00,2026-06-19T23:00:00+00:00,2026-06-19,18:00,2026-06-19T18:00:00-05:00,46,United States,United States,USA,3,Australia,Australia,AUS,7,Seattle,United States,Lumen Field,Seattle Stadium,United States vs Australia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
33,33,Fase de grupos,Group Stage,E,2026-06-20,Saturday,4:00 pm,16:00,America/Toronto,2026-06-20T16:00:00-04:00,2026-06-20T20:00:00+00:00,2026-06-20,15:00,2026-06-20T15:00:00-05:00,20,Germany,Germany,GER,15,Côte D'Ivoire,Côte d'Ivoire,CIV,8,Toronto,Canada,BMO Field,Toronto Stadium,Germany vs Côte D'Ivoire,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
34,34,Fase de grupos,Group Stage,E,2026-06-20,Saturday,4:00 pm,16:00,America/Chicago,2026-06-20T16:00:00-05:00,2026-06-20T21:00:00+00:00,2026-06-20,16:00,2026-06-20T16:00:00-05:00,16,Ecuador,Ecuador,ECU,13,Curaçao,Curaçao,CUW,,Kansas City,United States,Arrowhead Stadium,Kansas City Stadium,Ecuador vs Curaçao,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
35,35,Fase de grupos,Group Stage,F,2026-06-20,Saturday,4:00 pm,16:00,America/Chicago,2026-06-20T16:00:00-05:00,2026-06-20T21:00:00+00:00,2026-06-20,16:00,2026-06-20T16:00:00-05:00,30,Netherlands,Netherlands,NED,42,Sweden,Sweden,SWE,4,Houston,United States,NRG Stadium,Houston Stadium,Netherlands vs Sweden,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
36,36,Fase de grupos,Group Stage,F,2026-06-20,Saturday,4:00 pm,16:00,America/Monterrey,2026-06-20T16:00:00-06:00,2026-06-20T22:00:00+00:00,2026-06-20,17:00,2026-06-20T17:00:00-05:00,44,Tunisia,Tunisia,TUN,25,Japan,Japan,JPN,11,Monterrey,Mexico,Estadio BBVA,Monterrey Stadium,Tunisia vs Japan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
37,37,Fase de grupos,Group Stage,H,2026-06-21,Sunday,4:00 pm,16:00,America/New_York,2026-06-21T16:00:00-04:00,2026-06-21T20:00:00+00:00,2026-06-21,15:00,2026-06-21T15:00:00-05:00,47,Uruguay,Uruguay,URU,8,Cabo Verde,Cape Verde,CPV,5,Miami,United States,Hard Rock Stadium,Miami Stadium,Uruguay vs Cabo Verde,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
38,38,Fase de grupos,Group Stage,H,2026-06-21,Sunday,4:00 pm,16:00,America/New_York,2026-06-21T16:00:00-04:00,2026-06-21T20:00:00+00:00,2026-06-21,15:00,2026-06-21T15:00:00-05:00,41,Spain,Spain,ESP,37,Saudi Arabia,Saudi Arabia,KSA,1,Atlanta,United States,Mercedes-Benz Stadium,Atlanta Stadium,Spain vs Saudi Arabia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
39,39,Fase de grupos,Group Stage,G,2026-06-21,Sunday,4:00 pm,16:00,America/Los_Angeles,2026-06-21T16:00:00-07:00,2026-06-21T23:00:00+00:00,2026-06-21,18:00,2026-06-21T18:00:00-05:00,5,Belgium,Belgium,BEL,23,Iran,IR Iran,IRN,,Los Angeles,United States,SoFi Stadium,Los Angeles Stadium,Belgium vs Iran,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
40,40,Fase de grupos,Group Stage,G,2026-06-21,Sunday,4:00 pm,16:00,America/Vancouver,2026-06-21T16:00:00-07:00,2026-06-21T23:00:00+00:00,2026-06-21,18:00,2026-06-21T18:00:00-05:00,31,New Zealand,New Zealand,NZL,17,Egypt,Egypt,EGY,9,Vancouver,Canada,BC Place,BC Place Vancouver,New Zealand vs Egypt,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
41,41,Fase de grupos,Group Stage,I,2026-06-22,Monday,4:00 pm,16:00,America/New_York,2026-06-22T16:00:00-04:00,2026-06-22T20:00:00+00:00,2026-06-22,15:00,2026-06-22T15:00:00-05:00,32,Norway,Norway,NOR,39,Senegal,Senegal,SEN,,New York New Jersey,United States,MetLife Stadium,New York New Jersey Stadium,Norway vs Senegal,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
42,42,Fase de grupos,Group Stage,I,2026-06-22,Monday,4:00 pm,16:00,America/New_York,2026-06-22T16:00:00-04:00,2026-06-22T20:00:00+00:00,2026-06-22,15:00,2026-06-22T15:00:00-05:00,19,France,France,FRA,24,Iraq,Iraq,IRQ,6,Philadelphia,United States,Lincoln Financial Field,Philadelphia Stadium,France vs Iraq,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
43,43,Fase de grupos,Group Stage,J,2026-06-22,Monday,4:00 pm,16:00,America/Chicago,2026-06-22T16:00:00-05:00,2026-06-22T21:00:00+00:00,2026-06-22,16:00,2026-06-22T16:00:00-05:00,2,Argentina,Argentina,ARG,4,Austria,Austria,AUT,3,Dallas,United States,AT&T Stadium,Dallas Stadium,Argentina vs Austria,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
44,44,Fase de grupos,Group Stage,J,2026-06-22,Monday,4:00 pm,16:00,America/Los_Angeles,2026-06-22T16:00:00-07:00,2026-06-22T23:00:00+00:00,2026-06-22,18:00,2026-06-22T18:00:00-05:00,26,Jordan,Jordan,JOR,1,Algeria,Algeria,ALG,,San Francisco Bay Area,United States,Levi's Stadium,San Francisco Bay Area Stadium,Jordan vs Algeria,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
45,45,Fase de grupos,Group Stage,L,2026-06-23,Tuesday,4:00 pm,16:00,America/New_York,2026-06-23T16:00:00-04:00,2026-06-23T20:00:00+00:00,2026-06-23,15:00,2026-06-23T15:00:00-05:00,18,England,England,ENG,21,Ghana,Ghana,GHA,2,Boston,United States,Gillette Stadium,Boston Stadium,England vs Ghana,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
46,46,Fase de grupos,Group Stage,L,2026-06-23,Tuesday,4:00 pm,16:00,America/Toronto,2026-06-23T16:00:00-04:00,2026-06-23T20:00:00+00:00,2026-06-23,15:00,2026-06-23T15:00:00-05:00,33,Panama,Panama,PAN,12,Croatia,Croatia,CRO,8,Toronto,Canada,BMO Field,Toronto Stadium,Panama vs Croatia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
47,47,Fase de grupos,Group Stage,K,2026-06-23,Tuesday,4:00 pm,16:00,America/Chicago,2026-06-23T16:00:00-05:00,2026-06-23T21:00:00+00:00,2026-06-23,16:00,2026-06-23T16:00:00-05:00,35,Portugal,Portugal,POR,48,Uzbekistan,Uzbekistan,UZB,4,Houston,United States,NRG Stadium,Houston Stadium,Portugal vs Uzbekistan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
48,48,Fase de grupos,Group Stage,K,2026-06-23,Tuesday,4:00 pm,16:00,America/Mexico_City,2026-06-23T16:00:00-06:00,2026-06-23T22:00:00+00:00,2026-06-23,17:00,2026-06-23T17:00:00-05:00,10,Colombia,Colombia,COL,11,Congo DR,Congo DR,COD,10,Guadalajara,Mexico,Estadio Akron,Guadalajara Stadium,Colombia vs Congo DR,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
49,49,Fase de grupos,Group Stage,C,2026-06-24,Wednesday,4:00 pm,16:00,America/New_York,2026-06-24T16:00:00-04:00,2026-06-24T20:00:00+00:00,2026-06-24,15:00,2026-06-24T15:00:00-05:00,38,Scotland,Scotland,SCO,7,Brazil,Brazil,BRA,5,Miami,United States,Hard Rock Stadium,Miami Stadium,Scotland vs Brazil,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
50,50,Fase de grupos,Group Stage,C,2026-06-24,Wednesday,4:00 pm,16:00,America/New_York,2026-06-24T16:00:00-04:00,2026-06-24T20:00:00+00:00,2026-06-24,15:00,2026-06-24T15:00:00-05:00,29,Morocco,Morocco,MAR,22,Haiti,Haiti,HAI,1,Atlanta,United States,Mercedes-Benz Stadium,Atlanta Stadium,Morocco vs Haiti,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
51,51,Fase de grupos,Group Stage,B,2026-06-24,Wednesday,4:00 pm,16:00,America/Vancouver,2026-06-24T16:00:00-07:00,2026-06-24T23:00:00+00:00,2026-06-24,18:00,2026-06-24T18:00:00-05:00,43,Switzerland,Switzerland,SUI,9,Canada,Canada,CAN,9,Vancouver,Canada,BC Place,BC Place Vancouver,Switzerland vs Canada,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
52,52,Fase de grupos,Group Stage,B,2026-06-24,Wednesday,4:00 pm,16:00,America/Los_Angeles,2026-06-24T16:00:00-07:00,2026-06-24T23:00:00+00:00,2026-06-24,18:00,2026-06-24T18:00:00-05:00,6,Bosnia And Herzegovina,Bosnia & Herzegovina,BIH,36,Qatar,Qatar,QAT,7,Seattle,United States,Lumen Field,Seattle Stadium,Bosnia And Herzegovina vs Qatar,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
53,53,Fase de grupos,Group Stage,A,2026-06-24,Wednesday,4:00 pm,16:00,America/Mexico_City,2026-06-24T16:00:00-06:00,2026-06-24T22:00:00+00:00,2026-06-24,17:00,2026-06-24T17:00:00-05:00,14,Czechia,Czechia,CZE,28,Mexico,Mexico,MEX,,Mexico City,Mexico,Estadio Azteca,Mexico City Stadium,Czechia vs Mexico,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
54,54,Fase de grupos,Group Stage,A,2026-06-24,Wednesday,4:00 pm,16:00,America/Monterrey,2026-06-24T16:00:00-06:00,2026-06-24T22:00:00+00:00,2026-06-24,17:00,2026-06-24T17:00:00-05:00,40,South Africa,South Africa,RSA,27,Korea Republic,Korea Republic,KOR,11,Monterrey,Mexico,Estadio BBVA,Monterrey Stadium,South Africa vs Korea Republic,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
55,55,Fase de grupos,Group Stage,E,2026-06-25,Thursday,4:00 pm,16:00,America/New_York,2026-06-25T16:00:00-04:00,2026-06-25T20:00:00+00:00,2026-06-25,15:00,2026-06-25T15:00:00-05:00,13,Curaçao,Curaçao,CUW,15,Côte D'Ivoire,Côte d'Ivoire,CIV,6,Philadelphia,United States,Lincoln Financial Field,Philadelphia Stadium,Curaçao vs Côte D'Ivoire,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
56,56,Fase de grupos,Group Stage,E,2026-06-25,Thursday,4:00 pm,16:00,America/New_York,2026-06-25T16:00:00-04:00,2026-06-25T20:00:00+00:00,2026-06-25,15:00,2026-06-25T15:00:00-05:00,16,Ecuador,Ecuador,ECU,20,Germany,Germany,GER,,New York New Jersey,United States,MetLife Stadium,New York New Jersey Stadium,Ecuador vs Germany,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
57,57,Fase de grupos,Group Stage,F,2026-06-25,Thursday,4:00 pm,16:00,America/Chicago,2026-06-25T16:00:00-05:00,2026-06-25T21:00:00+00:00,2026-06-25,16:00,2026-06-25T16:00:00-05:00,25,Japan,Japan,JPN,42,Sweden,Sweden,SWE,3,Dallas,United States,AT&T Stadium,Dallas Stadium,Japan vs Sweden,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
58,58,Fase de grupos,Group Stage,F,2026-06-25,Thursday,4:00 pm,16:00,America/Chicago,2026-06-25T16:00:00-05:00,2026-06-25T21:00:00+00:00,2026-06-25,16:00,2026-06-25T16:00:00-05:00,44,Tunisia,Tunisia,TUN,,The Netherlands,The Netherlands,,,Kansas City,United States,Arrowhead Stadium,Kansas City Stadium,Tunisia vs The Netherlands,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
